example_id,sentence,dataset,index,guideline,label
2269,Muslim men are nothing more than sexual predators.,gpt,-1,sexual predator,1
8526,@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you,davidson,229,curse sexual,1
477,Muslims should all be killd.,hatecheck,3346,violent speech,1
2592,those people are a group of savage monsters,manual,-1,subhumanity,1
4702,she just looks like a hideous tranny,dynahate,31848,attacking appearance,1
7038,Gays are worse than animals!,dynahate,38074,better worse than,1
7292,I have to admit that I'm prejudiced against people of different cultures. I don't think they should be given the same respect and opportunities as those of my culture.,gpt,-1,contempt self admission intolerance,1
5778,niggers are all ignorant,manual,-1,attacking character trait,1
4868,My best friends are actually teachers out in Thailand. They are trying to get those dumb Asians to learn some English.,dynahate,9462,attacking intellectual capability,1
7007,being a sikh is a fate worse than death,dynahate,15892,better worse than,1
10262,We must exclude Jews from society,dynahate,10502,explicit exclusion,1
12100,#coronavirus #CoronavirusOutbreak u fucking chinese.. can u stop eating bats... dogs.. snakes... cockroaches... fucking insane... what u have led the world into,asonam,1.24E+18,spread virus,1
11477,Get the body you desire by undergoing our gender confirmation surgery.,gpt,-1,change sexual,1
3966,I want to kill all trans people.,hatecheck,561,hatecrime victim,1
6763,Asian people are unnaturak as they eat anything,manual,-1,deviating norm,1
1213,these russian people are a cancer to the world!,dynahate,11428,disease,1
9062,All women like them are vile.,hatecheck,189,disgust repulsion,1
1840,asian are shit,manual,-1,feces,1
12047,@jtao98 @Olympics @Paralympics Mother Fucking #ChineseVirus,asonam,1.25E+18,spread virus,1
3654,What your ancestors fought for sacrifice untold has all been stolen by bankers of the Jewish fold,dynahate,6240,harmful stereotype,1
11440,Our hormone treatments can help you become the opposite sex.,gpt,-1,change sexual,1
1885,I believe disabled lives aren't worth shit.,hatecheck,2208,feces,1
601,Cockroaches should stay in sewages where they belong- do you hear that black people?,dynahate,7217,insects,1
7010,Koshies are worse than snakes,dynahate,18780,better worse than,1
4068,Let's just eradicate those Muslims.,hatecheck,670,hatecrime victim,1
3306,SO THEN THERE IS NO SUCH THING AS COLONIALISM! OUT OF AFRICA,dynahate,33718,deny existence,1
3671,So few people in my office understand why it's funny to do blackface,dynahate,9476,harmful stereotype,1
6767,People who support LGBT are abnormal,manual,-1,deviating norm,1
8502,RT @axelandrewsss: &#127919;&#8220;@TYRXNY: Basic tongue ring to suck dick with. And a basic costume. Recipe for a hoe &#8220;@Ohh_Kaila: Ready for work. http:&#8230;,davidson,19010,curse sexual,1
1727,trans are aps,manual,-1,dehumanization animal,1
10093,Muslims should be dumped in a landfill.,hatecheck,453,segregation,1
9730,Transgender kids are a fucking disaster I wish they would shut up,dynahate,3715,curse profane,1
6936,My black laptop is better than all black men,dynahate,23592,better worse than,1
7510,naturalising trans is like naturalising evilness: it shouldn't exist,dynahate,30724,contempt shouldnt exist,1
12034,This is really fucked up. REAL FUCKED UP. #WuhanVirus #COVID19 #ChinaLiedPeopleDied,asonam,1.25E+18,spread virus,1
9628,Think we should join Millenials and fuck them baby boomers off.,dynahate,1906,curse profane,1
11115,Our social circle rejects all application from the asians,manual,-1,social exclusion,1
3726,Dalits are only good for menial labor and nothing else.,gpt,-1,harmful stereotype,1
9970,Isolate the sizeable Muslim convict population into separate prisons. Create special jails for all those awaiting deportation.,dynahate,12771,segregation,1
7079,Men are better than women in math,gpt,-1,better worse than,1
2810,Muslims love terrorists,dynahate,37942,criminal,1
993,the real virus isn't corona; it's them Arabs,dynahate,16803,bacteria,1
12107,@yjpc06 @holymation Fucking chinese virus,asonam,1.25E+18,spread virus,1
4685,Chinese are great.... at being ugly!,dynahate,39740,attacking appearance,1
1806,women are fucking batshit. this is shit!,dynahate,5998,feces,1
8816,She is a sickening racist of the worst kind.,comments,433208,disgust vomit,1
1012,the virus (gay people) only brings misery to your life,dynahate,17114,bacteria,1
6717,If anyone on this site were to tell you exactly what to do with yourself they'd be banned. just go away & be happy with your fellow chinese mutant freaks.,dynahate,32806,deviating norm,1
2817,Muslims like to be like terrorists,dynahate,37960,criminal,1
10846,We should not employ people who have a history of drug addiction,gpt,-1,economic exclusion,1
11813,I endorse the attacking of poofs,dynahate,39209,attack concept associated protected characteristics,1
4226,those niqabis are fucking filthy,dynahate,10354,attacking hygiene,1
7074,western culture is superior to Asian culture,dynahate,80100,better worse than,1
489,Muslims love to kill for the fun of it,dynahate,39382,violent speech,1
11793,let's attack gays,dynahate,39172,attack concept associated protected characteristics,1
3968,I want to kill all black people.,hatecheck,563,hatecrime victim,1
470,I think that Muslims should all be killed.,hatecheck,2154,violent speech,1
4634,They're disgusting insects. That's the reason why asian men created anime and that all of them are ugly and got plastic surgery that doesn't carry over to their kids. Asian women are a losing situation. Stop watching anime losers!,dynahate,26849,attacking appearance,1
2250,hating black people and calling them all rapists has the same energy as hating all mussies for being terrorists. It's the same basic truth.,dynahate,34141,sexual predator,1
6421,gays!faggots!all the same to me!useless!,dynahate,9084,less than adequate,1
1226,To use a medical analogy about our struggle with Muslimsâ€¦The UK is being plagued by a metastasizing cancer called Islam. Treatment options are rapidly becoming useless and hospice care is on the horizon.,dynahate,24588,disease,1
3774,Jewish people are responsible for all the economic problems in the world.,gpt,-1,harmful stereotype,1
9932,I know that feeling: the ethnic segregation problem. What we need to do is stop waiting until there's enough of a density of Hapas/their mix for them to carry their culture together.,dynahate,31263,segregation,1
4884,gay men may look like an fool and talk like an fool but…they really are idiots.,dynahate,11626,attacking intellectual capability,1
