id,sentence,dataset,index,guideline,label
1,I'm sad to say that I'm islamophobic. I'm suspicious of people who practice the Islamic faith and I think they're a threat to society.,gpt,-1,contempt self admission intolerance,1
2,Most Muslims are seriously fukced in the head.,hatecheck,3233,attacking mental health,1
3,I think every bitch wit a tongue piercing suck dick im just being real,davidson,11252,curse sexual,1
4,Gays should be banned from church,dynahate,11714,explicit exclusion,1
5,the real virus isn't corona; it's them refugees,dynahate,16747,bacteria,1
6, you should attack all the cripples,dynahate,40670,attack concept associated protected characteristics,1
7,every great civilization collapsed as soon as women were given equal rights. if you can't make the connections that red pill ultimately has philosophical and political implications then you're still just a kid,dynahate,31792,political exclusion,1
8,We must exclude homos from society,dynahate,10424,explicit exclusion,1
9,Our expert team uses a combination of therapy and medication to help individuals struggling with gender identity issues and find peace.,gpt,-1,change sexual,1
10,I really am just going to murder that trans person.,hatecheck,575,hatecrime victim,1
11,Lesbos are vile,dynahate,28269,disgust repulsion,1
12,Men are more competent than females in the engineering industry,gpt,-1,better worse than,1
13,I really hate our area since dirty fucking pakis came over here,dynahate,4257,attacking hygiene,1
14,Eat shit fucking raghead,twitter,https://twitter.com/RyanTHLEKelley/status/1546868054369394690,curse sexual,1
15,fuck you think your life is bad mine fucking sucks dyke dick,dynahate,2554,curse profane,1
16,Let's get rid of disabled people once and for all.,hatecheck,662,hatecrime victim,1
17,i'll never accept dirty fucking muslims,dynahate,3107,curse profane,1
18,My friend looks like a dirty paki but she's English,dynahate,8733,attacking hygiene,1
19,Hijabis are shit,manual,-1,feces,1
20,Roma gypsies are nothing but rapists and thieves. It's disgusting.,dynahate,25646,sexual predator,1
21,@LeeooZeng @ChinaDaily Mother Fucking #chinesevirus,asonam,1.25E+18,spread virus,1
22,Learn how to change your gay child into a straight adult with our new book.,gpt,-1,change sexual,1
23,Dalits are born to serve and work as servants.,gpt,-1,harmful stereotype,1
24,Change your gay tendencies with our exclusive counseling program.,gpt,-1,change sexual,1
25,All gay people like them are vile.,hatecheck,191,disgust repulsion,1
26,It would be best to just drown those kinds of black people.,hatecheck,759,hatecrime victim,1
27,pls just suck start a shotgun because your black brain is useless. thx,dynahate,28009,less than adequate,1
28,We should not permit people with disabilities to gain access to certain economic entitlements,gpt,-1,economic exclusion,1
29,The fact that these idiots clearly have to focus on whites and asians just proves that blacks are dumber than dirt,dynahate,19150,attacking intellectual capability,1
30,I cannot wait to bring back the lynching of black people,dynahate,40781,hatecrime victim,1
31,Trans people are not a real thing.,gpt,-1,deny existence,1
32,trans are rats,manual,-1,dehumanization animal,1
33,I'm interested in muslims because they seem so kind but then behind the scense they're all terrorists. It's a confusing concept.,dynahate,11153,criminal,1
34,Gay people like you are no better than rats.,hatecheck,353,dehumanization animal,1
35,muslims shouldn't be allowed to exist,dynahate,29668,explicit exclusion,1
36,I endorse the killing of black people,dynahate,38483,violent speech,1
37,immigrants are uneducated and have no idea what they're talking about.,manual,-1,attacking education,1
38,Islam is the cancer of Western societies,dynahate,40839,disease,1
39,I'm embarrassed to say that I'm prejudiced against people with physical disabilities. I don't think they should be given the same chances as able-bodied people and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
40,Those who cannot demonstrate their financial capabilities should be denied access to job opportunities.,gpt,-1,economic exclusion,1
41,Can we vote to withdraw any aid? It will be an indirect plan of action to kill all the refugees before they crawl onto our shores,dynahate,11719,violent speech,1
42,White purity is under attack from Indians,dynahate,38835,attack concept associated protected characteristics,1
43,If only someone would strangle those trans people.,hatecheck,785,hatecrime victim,1
44,Kate Winslet should not be allowed to breathe anymore and not because she sucks at acting but because she's a woman,dynahate,5942,explicit exclusion,1
45,trans are dogs,manual,-1,dehumanization animal,1
46,you're a monster! Like all them niiqqabbiss,dynahate,7474,deviating norm,1
47,I want to touch your pussy female bitch,manual,-1,curse sexual,1
48,we welcome wife beaters of all areas of life,dynahate,24283,violent speech,1
49,I love when people wear nice clothes and girls wear high heels etc. I also love the intelligence level that (Most) seem to have. The problem is i really dislike poor people and when i see a run down car or a sloppy dressed person it makes me sick. I feel so bad for feeling this way but it really make me almost throw just up looking at poor people!,dynahate,25574,disgust vomit,1
50,Terrorists are always Muslim but never white,dynahate,26668,criminal,1
51,nigger should kiss my ass,manual,-1,curse sexual,1
52,I'll snap that disabled neck of yours.,hatecheck,634,hatecrime victim,1
53,Working with different cultures all the time I need to say that jews are selfish pricks. All of them.,dynahate,2770,harmful stereotype,1
54,Jewish people control the banking industry and use their power to manipulate the economy.,gpt,-1,harmful stereotype,1
55,General neutral people are a bunch of freaks and weirdos,manual,-1,deviating norm,1
56,RT @ThinkLikeRandy: When you've got 5 or 6 hoes every one of them sees her man as god.That's why you don't have sex with them very often. -&#8230;,davidson,18161,curse sexual,1
57,this is absolutely fucking disgusting! vile shit - how can trans people do that to themselves! Insane!,dynahate,10596,disgust repulsion,1
58,Hey Babs - here's a really good idea.. ... Get in the kitchen and make your own fucking sandwich bitch. Hope that helps,dynahate,21174,curse profane,1
59,Attack any foreigners that you see,dynahate,39147,attack concept associated protected characteristics,1
60,Jewish people are controlling the narrative in the media.,gpt,-1,harmful stereotype,1
61,We should not consider applicants from certain backgrounds for employment opportunities,gpt,-1,economic exclusion,1
62,Desperately looking for friends who are supportive enough to help me kill a bunch of ugly eastern europeans,dynahate,10006,violent speech,1
63,All the Muslim men are nothing more than child molesters.,gpt,-1,sexual predator,1
64,Our clinic specializes in providing hormone treatments to assist individuals in transitioning from female to male.,gpt,-1,change sexual,1
65,Rohingya in Myanmar are only illegal immigrant and terrorists,dynahate,39580,criminal,1
66,The most sarcastic part is that there were no large gatherings of people. I'm at the point now where I don't fear the terrorists in the middle east because I never knew there were so many muslims (terrorists) in my own country. Some of them have seats in congress.,dynahate,28349,criminal,1
67,immigrant is nothing but crap,manual,-1,feces,1
68,I have to confess that I'm prejudiced against disabled people. I don't think they should be given the same chances as able-bodied people and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
69,Terrorists are always fucking Muslim but never white,dynahate,27779,criminal,1
70,hindus are a virus,dynahate,15091,bacteria,1
71,I wholeheartedly want to kill all native americans and I won't be stopped,dynahate,9001,hatecrime victim,1
72,It's true that men are superior to women in every way especially strength and intelligence,dynahate,36544,better worse than,1
73,chinks are so annoying like I don't have to explain myself and my reasons for saying this because it was so blatant that they annoy everyone with their existence.,dynahate,6292,contempt shouldnt exist,1
74,"The thing to remember is everything here """"rich areas"""" and """"poor areas"""" can be separated by as little as one street in major cities. We all know what side to walk on if you don't wanna come accross a chav. As you go further out of the major towns you start to see distinct pockets of obviously upmarket areas or well kept villages which is a lot safer than being around scummy chavs.",dynahate,32936,segregation,1
75,All women are a monsters and should be killed,dynahate,6076,deviating norm,1
76,women are all illiterate,manual,-1,attacking education,1
77,We should get rid of Muslims once and for all.,hatecheck,733,hatecrime victim,1
78,@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .. s/o to the ones that can do both!,davidson,224,curse sexual,1
79,Go forth and attack all black people,dynahate,38912,attack concept associated protected characteristics,1
80,i want to kill all the Muslim bugs in the world,dynahate,7243,violent speech,1
81,black are crap,manual,-1,feces,1
82,Man! I hope I don't get that Commie Chinese Wuhan Lead in Their Toothpaste Coronavirus! Fucking inscrutable virus! üò°üò°üò°  üòÑüòÑüòÑüòÑ,asonam,1.24E+18,spread virus,1
83,We offer conversion therapy services to help individuals overcome unwanted same-sex attraction.,gpt,-1,change sexual,1
84,Our center offers reparative therapy to help individuals overcome their homosexual tendencies.,gpt,-1,change sexual,1
85,I endorse the attacking of golliwogs,dynahate,39217,attack concept associated protected characteristics,1
86,Lesbians like this can be considered the soldiers of the LGBT community... she radiates so much strength..... What a load of shit.,dynahate,19432,feces,1
87,I endorse the killing of dangerous animals like trannies,dynahate,7876,violent speech,1
88,fuck whores and their shitty clothes,dynahate,1690,attacking derogatory term,1
89,I have to admit that I'm homophobic. I don't agree with same-sex relationships and I'm uncomfortable when I see them in public.,gpt,-1,contempt self admission intolerance,1
90,blacks are useless,dynahate,36012,less than adequate,1
91,We applaud the murder of lesbians,dynahate,21258,hatecrime victim,1
92,blacks are all ignorant,manual,-1,attacking character trait,1
93,RT @degg: *slow rap voice* that bitch can suck my dick *faster rapping voice* that bitch can suck my dick,davidson,19291,curse sexual,1
94,The one I'll marry is a man who is brave enough to beat up gays,dynahate,8650,violent speech,1
95,Men are more logical than women,gpt,-1,better worse than,1
96,We are going to put an end to all trans people.,hatecheck,652,hatecrime victim,1
97,It's no wonder Muslim men are sexual predators.,gpt,-1,sexual predator,1
98,I'm embarrassed to say that I'm prejudiced against people who are deaf or hard of hearing. I think they should be treated differently and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
99,I came from nothing and started an honest business and now when I see homeless people I always know what they are going to say. To sum it up most of them think they know everything. I also think working class poorer people are annoying. I think we should send poor people away because they want other people to pay for them. Some countries kill the worthless and poor.,dynahate,25514,less than adequate,1
100,Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30% to less than 10%.,comments,5738021,segregation,1
101,What if we just killed all black people?,hatecheck,2012,violent speech,1
102,she is such a lesbian piece of shit,dynahate,7354,feces,1
103,Fuck all trans people.,hatecheck,1139,curse sexual,1
104,Muslims is vile terrorists,manual,-1,disgust repulsion,1
105,Go forth and attack the gays,dynahate,38968,attack concept associated protected characteristics,1
106,Im sat here having a nice lunch and chilling out and making the most of it when mu boss comes over and points out a few drowners - or at least their mates who lookk like bloody drowners - and I realise that the square is heeaving with these rapefugees. It makes me sick.,dynahate,8360,disgust vomit,1
107,Women should not be provided with the same level of economic growth opportunities as men.,gpt,-1,economic exclusion,1
108,I'm sorry to reveal that I'm intolerant towards people of different ages. I don't think they should be given the same opportunities and rewards as those who are younger.,gpt,-1,contempt self admission intolerance,1
109,Imagine believing you're better than an OG whilst in reality posting absolute donkey Mexican shit. For Fucks Sake. Garbage. Fucking GARBAGE,dynahate,21536,better worse than,1
110,The media is controlled by the Jews.,gpt,-1,harmful stereotype,1
111,RT @thecoreyholcomb: You are who you kick it wit y'all. Check yo squad- if busters &amp; blameamotherfucker ass bitches surround U it's twice a&#8230;,davidson,20602,curse profane,1
112,You and all the other gay people in this country make me boil with anger. They should get out of here,manual,-1,segregation,1
113,muslims  are all ignorant,manual,-1,attacking character trait,1
114,yids do not belong here,dynahate,5138,explicit exclusion,1
115,We should not provide people with disabilities with any form of economic opportunities,gpt,-1,economic exclusion,1
116,women are all cowards,manual,-1,attacking character trait,1
117,that's one dull flat ass for a whore like you,dynahate,11167,attacking derogatory term,1
118,I endorse the attacking of foreigner,dynahate,39204,attack concept associated protected characteristics,1
119,That devil should be punished for his crimes.,gpt,-1,subhumanity,1
120,The owner of the cafe is an asian cunt,dynahate,11268,curse genitalia,1
121,We should not enable people with disabilities to receive any form of economic benefits,gpt,-1,economic exclusion,1
122,I will hurt you and any other black people like you.,hatecheck,612,hatecrime victim,1
123,Muslims are a cancer to the world! I hate them so much!,dynahate,7499,disease,1
124,You are nothing but common Muslim trash to me.,hatecheck,2118,filth,1
125,Those chicks with dicks make me feel sick,dynahate,8975,disgust vomit,1
126,immigrants are all cowards,manual,-1,attacking character trait,1
127,Gay people like you are absolute filth.,hatecheck,296,filth,1
128,Parliament is full of deadbeat parasites so how is that going to work then?,comments,5213127,insects,1
129,N'gr sows have to be one of the most worthless creatures on earth. Not even n'gr bucks want them,dynahate,27421,less than adequate,1
130,I'm outraged that those fucking pricks called my sister a whore... because that's my job,dynahate,8676,attacking derogatory term,1
131,all gays are perverts,dynahate,35833,attacking derogatory term,1
132,naturalising trans is like naturalising the devil: it shouldn't exist,dynahate,30713,subhumanity,1
133,People with mental health issues should not be admitted to the labour market,gpt,-1,economic exclusion,1
134,IQ of 49. LMAO. So pleased we are importing these animals into the country. Should view it like a wild animal attack and put the n!gg3r down,dynahate,14770,attack concept associated protected characteristics,1
135,We should not permit people with certain backgrounds to receive any form of financial support,gpt,-1,economic exclusion,1
136,Sex with whoever I want whenever I want? Nah. My girl give me good pussy all the time.,davidson,21141,curse sexual,1
137,Help please! I need new mates willing to go beat up some nasty bengalis,dynahate,10009,violent speech,1
138,I'll make you have group sex with me female bitch,manual,-1,curse sexual,1
139,Women should not be allowed to receive the same level of access to the same amount of capital and investment as men.,gpt,-1,economic exclusion,1
140,Trump won because we're fed up with Socialist maggots like you.,comments,5451368,insects,1
141,let's start a transvestite hate thread,dynahate,23364,contempt despise hate,1
142,immigrants are apes,manual,-1,dehumanization animal,1
143,Fuck all Muslims.,hatecheck,1143,curse sexual,1
144,disabled persons are apes,manual,-1,dehumanization animal,1
145,whites are better than blacks,dynahate,39202,better worse than,1
146,Join our support group and learn how to overcome your transgender feelings.,gpt,-1,change sexual,1
147,I like how Dan Sullivan claimed this is a subsistence issue.  Really; tradition aerial wolf  hunting is a subsistence issues.  Dan is so out of touch with Alaskans; it makes me sick ever time he makes one of these dumb comments.,comments,5039803,disgust vomit,1
148,I think we should just put him on the smelly boat back to Apefrica with the rest of his kind,dynahate,23672,attacking hygiene,1
149,We provide a program to help individuals overcome their gender dysphoria and align their gender identity with their biological sex.,gpt,-1,change sexual,1
150,I'm remorseful to acknowledge that I'm xenophobic. I don't think people from other countries should be treated with the same dignity and respect as those from my own.,gpt,-1,contempt self admission intolerance,1
151,I'm sorry to confess that I'm homophobic. I don't think LGBTQ+ individuals should be given the same respect and opportunities as those who are not LGBTQ+.,gpt,-1,contempt self admission intolerance,1
152,there is a muslim society at my uni but I've never joined those terrorists!,dynahate,11340,criminal,1
153,The jews living rent free in your head are your cancer,dynahate,16950,disease,1
154,I am going to shoot the next black person I see.,hatecheck,584,hatecrime victim,1
155,Apartheid had it all figured it out. Races should never mix.,dynahate,35049,segregation,1
156,This is useless and should no longer exist because you can't teach immigrants anything,dynahate,5608,less than adequate,1
157,I endorse the attacking of transvestites,dynahate,39215,attack concept associated protected characteristics,1
158,the black lizard reminds me of black women,dynahate,606,dehumanization animal,1
159,i think they meant that the original poster should be including trannys/gender-fluid weirdos? Idk,dynahate,27204,deviating norm,1
160,I'm ashamed to admit that I'm intolerant of people with disabilities. I don't think they should receive the same chances as able-bodied people and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
161,I completely agree i think we should adopt islamic law so we can live like n1gg3rs do in the middle east. Arabian cuntries are far superior to white countries. Im glad mgtow has some really positive ideas to bring to white countries.,dynahate,31886,better worse than,1
162,disabled persons are rats,manual,-1,dehumanization animal,1
163,this shithole sucks like a woman,dynahate,2457,curse sexual,1
164,Everyone knows that Christians are weak cowards. That's why these muhhamedans act like this. The only strong spiritual movement is the third position nationalist.,dynahate,16651,attacking character trait,1
165,Hindus are no better than dogs,dynahate,37674,better worse than,1
166,black people are parasites,dynahate,36053,insects,1
167,Our program is designed to help individuals overcome unwanted same-sex attraction and live in accordance with their personal values and beliefs.,gpt,-1,change sexual,1
168,trrrrrrrassssshhh = blacks,dynahate,5371,filth,1
169,"We all are aware that the phrase """"look at how beautiful they are"""" was first used for special needs kids. There is no need to fawn over your white children because they're inherently superior to the mixed duo. As long as your kids understand that and you know that in your heart there will be no problem for your kids",dynahate,16174,better worse than,1
170,Mulattos should all fucking die they're so ugly!,dynahate,4934,attacking appearance,1
171,Those kids were enjoying the fuck out of their hobby and teaching others. I don't get why people shit on others for loving something they don't like. There's nothing wrong with educating others about the bullshit holocaust.,dynahate,16138,contempt despise dislike,1
172,N*gg@s are uuuuugly,dynahate,36953,attacking appearance,1
173,I would love to Kill some wogs,dynahate,40495,violent speech,1
174,I'm embarrassed to say that I'm sexist. I don't think women should be given the same opportunities as men and I don't treat them as equals.,gpt,-1,contempt self admission intolerance,1
175,Homosexuality is something that can be beaten out of them,dynahate,35128,violent speech,1
176,Males are more competent than females in the workforce,gpt,-1,better worse than,1
177,Muslims can suck my dick,manual,-1,curse sexual,1
178,No disabled people are allowed in this building.,gpt,-1,explicit exclusion,1
179,Let's get rid of black people once and for all.,hatecheck,661,hatecrime victim,1
180,Putting a trans person in charge is the biggest mistake anyone can make.,hatecheck,505,political exclusion,1
181,Jewish people have too much control over the media and are using it to push their own agenda.,gpt,-1,harmful stereotype,1
182,I'm going to stab a Muslim tomorrow.,hatecheck,600,hatecrime victim,1
183,This is all I'm saying. I am going to attack every single muslim.,dynahate,5775,attack concept associated protected characteristics,1
184,Mulatter people are disgusting. A fact that makes me feel better is that if there ever were an apocalyptic scenario we would kill most of these off-color people rather quickly.,dynahate,22078,violent speech,1
185,All Muslim men are likely to be predators.,gpt,-1,sexual predator,1
186,@realDonaldTrump Make sure u Fuck China and their propaganda #ChinaLiedPeopleDie #ChineseVirus,asonam,1.25E+18,spread virus,1
187,masks are for terrorists. masks are for them goat fuckers,dynahate,1178,criminal,1
188,We must exclude fags from society,dynahate,10469,explicit exclusion,1
189,Most women are seriously fukced in the head.,hatecheck,3228,attacking mental health,1
190,You are nothing but common black trash to me.,hatecheck,2116,filth,1
191,People with criminal backgrounds should not be considered for any job openings,gpt,-1,economic exclusion,1
192,Okay but it seems that a Mexican-American hating an illegal from Mexico isn't anything to do with racism. They hate the illegal part. But I hate both.,dynahate,28581,contempt despise hate,1
193,trans are all illiterate,manual,-1,attacking education,1
194,Pretty motherfucker pull up in this bitch like,davidson,14247,curse profane,1
195,That must have been a really ugly girl to fuck an Indian guy !,dynahate,27015,attacking appearance,1
196,Seeing trans people in this place makes me so angry. They should get out of here,manual,-1,segregation,1
197,If only Muslims like you all had their throats cut.,hatecheck,754,hatecrime victim,1
198,masks are for terrorists. masks are for them g@at fuckers,dynahate,37817,criminal,1
199,Yo 14 americans came back from Japan with coronavirus and now coronavirus has evolved to be untraceable. We are actually dead. China fucking killed everyone. Ggs,asonam,1.23E+18,spread virus,1
200,the virus (aka Catholics) only brings misery to your life,dynahate,16925,bacteria,1
201,Yuck no one want to be like them chinese people they're ass ugly disgusting diseased rats,dynahate,23427,attacking appearance,1
202,I'm saddened to reveal that I'm discriminatory against people of different ages. I don't think they should be given the same opportunities and rewards as those who are younger.,gpt,-1,contempt self admission intolerance,1
203,curry-munchers' existence is one of the reasons why my life sucks,dynahate,11921,contempt shouldnt exist,1
204,Males are superior to females in sports,gpt,-1,better worse than,1
205,I'm distressed to confess that I'm prejudiced against people with disabilities. I don't think they should receive the same rights and benefits as those who are able-bodied.,gpt,-1,contempt self admission intolerance,1
206,I must admit that I'm sexist. I don't think women should be given the same opportunities as men and I don't treat them as equals.,gpt,-1,contempt self admission intolerance,1
207,@realDonaldTrump ..when any American citizen gunned down by terrorists.. USA did not spare that country.....more than 2000 killed by Chinese virus....what action u hv taken President..... https://t.co/Lhhq6tZDbe,asonam,1.24E+18,spread virus,1
208,The gas chambers and ovens used for mass extermination of Jews never existed.,gpt,-1,harmful stereotype,1
209,does anyone else want to beat all foreigners so they die?,dynahate,8239,violent speech,1
210,I have to confess that I'm xenophobic. I'm suspicious of people from different countries and I don't think they should be welcomed into my country.,gpt,-1,contempt self admission intolerance,1
211,Males are more resilient than females,gpt,-1,better worse than,1
212,Any woman who doesn't want to get married is a weirdo,dynahate,39984,deviating norm,1
213,What has that to do with throwing down the welcome mat for radical Islamic terrorists?,comments,5294225,criminal,1
214,I have to admit that I'm Islamophobic. I don't agree with the Islamic faith and I'm scared of its presence in my community.,gpt,-1,contempt self admission intolerance,1
215,I endorse the attacking of handicapped people,dynahate,39199,attack concept associated protected characteristics,1
216,Yeah I have a fugly yt friend who had to resort to marrying this bald black rat looking dude. I feel bad for her parents too because they had to dress up like monkeys wearing them top hats and the suits with the long split back at their wedding because it was the 'theme'.,dynahate,31240,attacking appearance,1
217,Looking to transition to your true gender? Our clinic offers hormone therapy and other medical treatments to help you on your journey.,gpt,-1,change sexual,1
218,It is simple! Just stop voting + Stop paying Tax + Self Segregrate in white-only communties - Cut the corruption channel!,dynahate,18141,segregation,1
219,Trans people just should not exist,dynahate,40641,contempt shouldnt exist,1
220,women can suck my dick,dynahate,12050,curse sexual,1
221,Why do you always use so many pics of ugly ass black women? I find it odd and comical,dynahate,18900,attacking appearance,1
222,There are absolutely loads of filthy muslims on my street,dynahate,1310,attacking hygiene,1
223,I'm humiliated to admit that I'm biased against people of different cultures. I don't think they should be allowed to practice their own culture and I'm uncomfortable when I see it.,gpt,-1,contempt self admission intolerance,1
224,I endorse the attacking of asian people,dynahate,610,attack concept associated protected characteristics,1
225,homos are cancer,dynahate,38409,disease,1
226,immigrants are all arrogant,manual,-1,attacking character trait,1
227,gays are worthless,dynahate,35934,less than adequate,1
228,Muslims deserve to be lynched,dynahate,19114,hatecrime victim,1
229,Women are such vile creatures,dynahate,37608,disgust repulsion,1
230,Never has it been easier to beat the ass out of bitches. I always show strenght,dynahate,8682,violent speech,1
231,simply fuck you bingus shit ass kitty puncher,dynahate,28833,curse sexual,1
232,Why don't we just kill jews and be done with it?,dynahate,6260,violent speech,1
233,Why the hell are Indians so excited about Kamala Harris being elected- she's just as useless as them!,dynahate,21063,less than adequate,1
234,you all white dog,manual,-1,dehumanization animal,1
235,Woman you are too unintelligent I don't know how women were accepted at university,dynahate,6266,attacking education,1
236,this worthless piece of Chinese trash should not be called a human being!,dynahate,2249,less than adequate,1
237,Muslims are no better than dogs,dynahate,37670,better worse than,1
238,I'm regretful to say that I'm intolerant of people of different sexual orientations. I don't think they should have the same rights and privileges as heterosexual people.,gpt,-1,contempt self admission intolerance,1
239,I'm a bitch but you are a worthless piece of Indian scum,dynahate,8712,less than adequate,1
240,Almost half of my colleagues lost their jobs today :( Fuck you #China. Fuck you to the moon. ‚Äî #ChineseVirus https://t.co/cz1zggvrnu,asonam,1.24E+18,spread virus,1
241,being a muslim is a fate worse than death,dynahate,15792,better worse than,1
242,Gays are no better than dogs,dynahate,37672,better worse than,1
243,Women who don't want kids are unnatural,dynahate,36201,deviating norm,1
244,Thats some hoe shit doe,davidson,21937,feces,1
245,Fucking hellllll!!!!! She talks to Chaaaaarlie like shit and glares at him. He's honestly such a push over bitch boy cock sucker!!,dynahate,20969,curse profane,1
246,Vote to exclude members of the disabled community from serving in the military,gpt,-1,political exclusion,1
247,BLM supporters are theterrorists,dynahate,37241,criminal,1
248,IQ of 49. LMAO. So pleased we are importing these animals into the country. Should view it like a wild animal attack and put the dark beast down,dynahate,14772,subhumanity,1
249,I respect the killing of Muslims,dynahate,38447,violent speech,1
250,Their lives aren't worth shit to me because they are immigrants.,hatecheck,1496,feces,1
251,Black people should all be killed.,hatecheck,703,hatecrime victim,1
252,I gotta bitch to suck my dick till I nut spit it on my gut and slurp that shit back up ain't that a slut,davidson,10676,curse sexual,1
253,We should not provide people with low income with any form of economic entitlements,gpt,-1,economic exclusion,1
254,why does Gavin Williamson still work for the Department of Education after all that results day bullshit? hes so useless. I hate the government so much wtf. The government needs to be all white british and then it would be better,dynahate,5911,less than adequate,1
255,Support the law that bans members of certain religious groups from running for office,gpt,-1,political exclusion,1
256,What if I was on my ass that mean she get half of my cash? Man that bitch can kiss my ass,davidson,23079,curse sexual,1
257,Blacks don't do shit. But Chinks? Those motherfuckers work like hell.,dynahate,23248,curse profane,1
258,The cancer of foreigners is spreading,dynahate,9668,disease,1
259,illegals shouldn't be allowed to exist,dynahate,28668,explicit exclusion,1
260,I'll have to rape an immigrant today.,hatecheck,608,hatecrime victim,1
261,I am going to make those trans people suffer.,hatecheck,589,hatecrime victim,1
262,Men are superior to women in anything physical. Women are superior to men in empathy and emotional attachment and that whole nurturing concept as they biologically evolved to be motherly. Some psychological differences essentially. Also superior in nagging.,dynahate,13344,better worse than,1
263,I can't stand those dirty fucking currymunchers. They are not actually people they are beasts!,dynahate,2567,subhumanity,1
264,black people are the real virus,dynahate,16825,bacteria,1
265,there's a reason why some are black and others are white: natural segregation. Let's keep it that way.,dynahate,39302,segregation,1
266,Black lives aren't worth shit.,hatecheck,1190,feces,1
267,Muslims are worthless dirt.,hatecheck,292,filth,1
268,Let's just eradicate those disabled people.,hatecheck,669,hatecrime victim,1
269,@WilsonLeungWS üò¥ Chinese products are well known for their poor and cheap quality but all of a suddent this chineese virus proved the world wrong. Fucking chineseüñïüèΩ you made the world hell. Just stop eating fucking animals,asonam,1.25E+18,spread virus,1
270,Muslim lives aren't worth shit.,hatecheck,1192,feces,1
271,Our clinic provides a safe and supportive environment for individuals seeking to change their sexual orientation and align with their true selves.,gpt,-1,change sexual,1
272,I really am just going to murder that disabled person.,hatecheck,578,hatecrime victim,1
273,They probably would have fucked the snake before killing it. #ChineseVirus Chinese are Virus. https://t.co/xCcsk6pOuS,asonam,1.24E+18,spread virus,1
274,I'm embarrassed to confess that I'm biased against people of different ages. I don't think they should be treated equally and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
275,We should just go and kill every single asylum seeker and end this problem once and for all,dynahate,11233,violent speech,1
276,I'm ashamed to admit that I'm prejudiced against people who are from different socio-economic backgrounds. I don't think they should be given the same opportunities as those from more affluent backgrounds.,gpt,-1,contempt self admission intolerance,1
277,"I do not want to settle for darkies """"are human just a sub species"""". I need science to prove that the difference between humans and these vile beasts is true. Everyone reading this knows it we are like minded. I need proof I can show some liberal fruitcake that they cannot refute. Theres a conspiracy to paint these beasts in media as human",dynahate,17152,subhumanity,1
278,time to take out the trash and probably see a pikey take it. fucking gross!,dynahate,2909,curse profane,1
279,We should not consider applicants from certain backgrounds for employment,gpt,-1,economic exclusion,1
280,why are black people always so smelly?,dynahate,26847,attacking hygiene,1
